SettlementPoint,Year,Volatility,NHours,NReturns
HB_BUSAVG,2016,0.185773,8783,8782
HB_BUSAVG,2017,0.154092,8759,8758
HB_BUSAVG,2018,0.200254,8759,8758
HB_BUSAVG,2019,0.249378,8759,8758
HB_HOUSTON,2016,0.191099,8783,8782
HB_HOUSTON,2017,0.170477,8759,8758
HB_HOUSTON,2018,0.200244,8759,8758
HB_HOUSTON,2019,0.247946,8759,8758
HB_HUBAVG,2016,0.187957,8783,8782
HB_HUBAVG,2017,0.158687,8759,8758
HB_HUBAVG,2018,0.202121,8759,8758
HB_HUBAVG,2019,0.250648,8759,8758
HB_NORTH,2016,0.184181,8783,8782
HB_NORTH,2017,0.152575,8759,8758
HB_NORTH,2018,0.200159,8759,8758
HB_NORTH,2019,0.249618,8759,8758
HB_PAN,2019,0.631635,5622,5621
HB_SOUTH,2016,0.209026,8775,8774
HB_SOUTH,2017,0.156145,8759,8758
HB_SOUTH,2018,0.198684,8759,8758
HB_SOUTH,2019,0.24898,8759,8758
HB_WEST,2016,0.208849,8778,8777
HB_WEST,2017,0.247628,8721,8720
HB_WEST,2018,0.302512,8680,8679
HB_WEST,2019,0.336607,8723,8722
